Date,Sales
01-01-2013,0
02-01-2013,5530
03-01-2013,4327
04-01-2013,4486
05-01-2013,4997
06-01-2013,0
07-01-2013,7176
08-01-2013,5580
09-01-2013,5471
10-01-2013,4892
11-01-2013,4881
12-01-2013,4952
13-01-2013,0
14-01-2013,4717
15-01-2013,3900
16-01-2013,4008
17-01-2013,4044
18-01-2013,4127
19-01-2013,5182
20-01-2013,0
21-01-2013,5394
22-01-2013,5720
23-01-2013,5578
24-01-2013,5195
25-01-2013,5586
26-01-2013,5598
27-01-2013,0
28-01-2013,4055
29-01-2013,3725
30-01-2013,4601
31-01-2013,4709
01-02-2013,5633
02-02-2013,5970
03-02-2013,0
04-02-2013,7032
05-02-2013,6049
06-02-2013,6140
07-02-2013,5499
08-02-2013,5681
09-02-2013,5370
10-02-2013,0
11-02-2013,4409
12-02-2013,4015
13-02-2013,4252
14-02-2013,4241
15-02-2013,4809
16-02-2013,6154
17-02-2013,0
18-02-2013,6407
19-02-2013,5386
20-02-2013,5660
21-02-2013,5261
22-02-2013,5000
23-02-2013,5237
24-02-2013,0
25-02-2013,4038
26-02-2013,3794
27-02-2013,4558
28-02-2013,4676
01-03-2013,4611
02-03-2013,5350
03-03-2013,0
04-03-2013,7675
05-03-2013,6300
06-03-2013,5973
07-03-2013,5637
08-03-2013,5853
09-03-2013,5578
10-03-2013,0
11-03-2013,4949
12-03-2013,3853
13-03-2013,4341
14-03-2013,5108
15-03-2013,4925
16-03-2013,5003
17-03-2013,0
18-03-2013,7072
19-03-2013,6563
20-03-2013,5598
21-03-2013,5179
22-03-2013,5506
23-03-2013,5603
24-03-2013,0
25-03-2013,6729
26-03-2013,6686
27-03-2013,6660
28-03-2013,7285
29-03-2013,0
30-03-2013,7132
31-03-2013,0
01-04-2013,0
02-04-2013,5484
03-04-2013,4625
04-04-2013,4293
05-04-2013,4390
06-04-2013,5075
07-04-2013,0
08-04-2013,6046
09-04-2013,5514
10-04-2013,4903
11-04-2013,4366
12-04-2013,5263
13-04-2013,4773
14-04-2013,0
15-04-2013,3941
16-04-2013,3357
17-04-2013,3649
18-04-2013,2952
19-04-2013,4303
20-04-2013,4350
21-04-2013,0
22-04-2013,5672
23-04-2013,4492
24-04-2013,4309
25-04-2013,3939
26-04-2013,4841
27-04-2013,5726
28-04-2013,0
29-04-2013,5821
30-04-2013,5925
01-05-2013,0
02-05-2013,6486
03-05-2013,6027
04-05-2013,5912
05-05-2013,0
06-05-2013,4568
07-05-2013,4624
08-05-2013,5230
09-05-2013,0
10-05-2013,5409
11-05-2013,5064
12-05-2013,0
13-05-2013,6106
14-05-2013,5083
15-05-2013,4790
16-05-2013,4448
17-05-2013,4856
18-05-2013,4413
19-05-2013,0
20-05-2013,0
21-05-2013,4789
22-05-2013,3559
23-05-2013,4030
24-05-2013,4232
25-05-2013,4408
26-05-2013,0
27-05-2013,5519
28-05-2013,4995
29-05-2013,5784
30-05-2013,0
31-05-2013,7893
01-06-2013,5693
02-06-2013,0
03-06-2013,5422
04-06-2013,5220
05-06-2013,5012
06-06-2013,4881
07-06-2013,4315
08-06-2013,4262
09-06-2013,0
10-06-2013,4291
11-06-2013,3784
12-06-2013,3563
13-06-2013,3661
14-06-2013,4150
15-06-2013,4766
16-06-2013,0
17-06-2013,5337
18-06-2013,4633
19-06-2013,4180
20-06-2013,5011
21-06-2013,5173
22-06-2013,4341
23-06-2013,0
24-06-2013,3549
25-06-2013,4536
26-06-2013,3827
27-06-2013,3593
28-06-2013,4407
29-06-2013,5804
30-06-2013,0
